TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
LAL,LAL @ NOP,11/12/2016,W,240,126,52,94,55.3,16,30,53.3,6,7,85.7,10,37,47,36,8,5,10,17,27
LAL,LAL @ SAC,11/10/2016,W,240,101,38,74,51.4,9,27,33.3,16,22,72.7,4,38,42,18,8,2,21,19,10
LAL,LAL vs. DAL,11/08/2016,L,240,97,38,78,48.7,10,26,38.5,11,14,78.6,8,29,37,20,6,1,17,19,-12
LAL,LAL vs. PHX,11/06/2016,W,240,119,41,90,45.6,10,23,43.5,27,35,77.1,15,38,53,22,8,5,19,22,11
LAL,LAL vs. GSW,11/04/2016,W,240,117,45,95,47.4,8,30,26.7,19,21,90.5,16,35,51,26,9,5,16,19,20
LAL,LAL @ ATL,11/02/2016,W,240,123,48,90,53.3,9,22,40.9,18,20,90,11,31,42,24,11,9,15,25,7
LAL,LAL @ IND,11/01/2016,L,240,108,40,89,44.9,6,28,21.4,22,25,88,11,33,44,14,8,2,20,25,-7
LAL,LAL @ OKC,10/30/2016,L,240,96,35,87,40.2,7,32,21.9,19,24,79.2,11,30,41,20,15,2,22,18,-17
LAL,LAL @ UTA,10/28/2016,L,240,89,32,84,38.1,9,23,39.1,16,21,76.2,11,32,43,16,6,7,17,29,-7
LAL,LAL vs. HOU,10/26/2016,W,240,120,45,89,50.6,12,35,34.3,18,22,81.8,11,28,39,21,10,4,16,24,6
LAL,LAL vs. UTA,04/13/2016,W,240,101,41,85,48.2,6,25,24,13,15,86.7,8,39,47,19,6,3,14,17,5
LAL,LAL @ OKC,04/11/2016,L,240,79,23,81,28.4,7,31,22.6,26,30,86.7,10,38,48,15,8,1,15,20,-33
LAL,LAL @ HOU,04/10/2016,L,240,110,41,83,49.4,12,28,42.9,16,19,84.2,7,33,40,25,10,3,21,15,-20
LAL,LAL @ NOP,04/08/2016,L,240,102,34,81,42,11,24,45.8,23,27,85.2,10,24,34,18,9,5,13,23,-8
LAL,LAL vs. LAC,04/06/2016,L,240,81,32,90,35.6,4,19,21.1,13,17,76.5,16,33,49,12,6,1,12,16,-10
LAL,LAL @ LAC,04/05/2016,L,240,81,26,83,31.3,6,20,30,23,25,92,14,29,43,11,10,3,15,23,-22
LAL,LAL vs. BOS,04/03/2016,L,240,100,37,90,41.1,6,21,28.6,20,29,69,11,36,47,22,6,4,11,17,-7
LAL,LAL vs. MIA,03/30/2016,W,265,102,37,102,36.3,6,20,30,22,29,75.9,19,30,49,14,9,5,10,21,2
LAL,LAL @ UTA,03/28/2016,L,240,75,26,85,30.6,7,20,35,16,22,72.7,7,30,37,11,5,6,9,19,-48
LAL,LAL vs. WAS,03/27/2016,L,240,88,33,87,37.9,7,28,25,15,17,88.2,12,30,42,15,12,0,18,26,-13
LAL,LAL vs. DEN,03/25/2016,L,240,105,37,85,43.5,10,23,43.5,21,26,80.8,7,36,43,23,6,3,11,19,-11
LAL,LAL @ PHX,03/23/2016,L,240,107,39,93,41.9,7,27,25.9,22,26,84.6,14,27,41,13,6,6,10,24,-12
LAL,LAL vs. MEM,03/22/2016,W,240,107,39,77,50.6,6,19,31.6,23,24,95.8,11,29,40,21,10,4,22,23,7
LAL,LAL vs. PHX,03/18/2016,L,240,90,31,86,36,6,23,26.1,22,26,84.6,12,38,50,21,4,6,12,21,-5
LAL,LAL vs. SAC,03/15/2016,L,240,98,37,84,44,5,26,19.2,19,26,73.1,10,39,49,20,10,5,22,23,-8
LAL,LAL vs. NYK,03/13/2016,L,240,87,34,85,40,3,16,18.8,16,21,76.2,10,35,45,14,6,2,9,20,-3
LAL,LAL vs. CLE,03/10/2016,L,240,108,42,80,52.5,7,22,31.8,17,21,81,4,30,34,18,8,4,11,22,-12
LAL,LAL vs. ORL,03/08/2016,W,240,107,40,81,49.4,9,27,33.3,18,23,78.3,10,35,45,21,7,2,15,22,9
LAL,LAL vs. GSW,03/06/2016,W,240,112,41,87,47.1,9,25,36,21,22,95.5,9,32,41,23,12,6,13,24,17
LAL,LAL vs. ATL,03/04/2016,L,240,77,29,85,34.1,5,27,18.5,14,20,70,17,29,46,19,5,1,11,16,-29
LAL,LAL @ DEN,03/02/2016,L,240,107,35,79,44.3,11,31,35.5,26,32,81.3,6,25,31,19,7,4,9,25,-10
LAL,LAL vs. BKN,03/01/2016,W,240,107,41,83,49.4,11,26,42.3,14,21,66.7,8,38,46,22,5,4,13,22,6
LAL,LAL vs. MEM,02/26/2016,L,240,95,32,78,41,5,23,21.7,26,39,66.7,11,27,38,14,9,3,9,14,-17
LAL,LAL @ MEM,02/24/2016,L,240,119,39,88,44.3,17,39,43.6,24,33,72.7,15,30,45,16,5,3,7,21,-9
LAL,LAL @ MIL,02/22/2016,L,240,101,28,76,36.8,12,29,41.4,33,43,76.7,11,35,46,18,7,2,17,24,-7
LAL,LAL @ CHI,02/21/2016,L,240,115,43,93,46.2,7,21,33.3,22,33,66.7,17,27,44,13,5,4,8,20,-11
LAL,LAL vs. SAS,02/19/2016,L,240,113,40,81,49.4,10,22,45.5,23,26,88.5,12,24,36,20,5,4,16,17,-6
LAL,LAL @ CLE,02/10/2016,L,240,111,38,86,44.2,13,28,46.4,22,27,81.5,11,33,44,16,5,3,11,19,-9
LAL,LAL @ IND,02/08/2016,L,240,87,29,93,31.2,8,35,22.9,21,26,80.8,14,37,51,13,10,2,12,24,-2
LAL,LAL @ SAS,02/06/2016,L,240,102,34,86,39.5,10,30,33.3,24,27,88.9,13,33,46,19,5,3,9,22,-4
LAL,LAL @ NOP,02/04/2016,W,240,99,39,81,48.1,7,20,35,14,20,70,9,39,48,14,4,0,16,22,3
LAL,LAL vs. MIN,02/02/2016,W,240,119,40,80,50,12,26,46.2,27,35,77.1,7,24,31,23,9,2,10,24,4
LAL,LAL vs. CHA,01/31/2016,L,240,82,27,80,33.8,8,29,27.6,20,23,87,4,38,42,13,6,8,15,20,-19
LAL,LAL @ LAC,01/29/2016,L,240,93,34,78,43.6,5,13,38.5,20,25,80,11,37,48,19,6,4,18,21,-12
LAL,LAL vs. CHI,01/28/2016,L,240,91,32,85,37.6,9,25,36,18,23,78.3,11,30,41,21,6,4,15,17,-23
LAL,LAL vs. DAL,01/26/2016,L,240,90,30,74,40.5,7,25,28,23,28,82.1,8,39,47,15,4,7,14,25,-2
LAL,LAL @ POR,01/23/2016,L,240,103,34,69,49.3,7,17,41.2,28,32,87.5,4,26,30,14,4,6,19,20,-18
LAL,LAL vs. SAS,01/22/2016,L,240,95,38,84,45.2,6,16,37.5,13,18,72.2,12,33,45,19,3,5,13,12,-13
LAL,LAL vs. SAC,01/20/2016,L,240,93,32,90,35.6,4,25,16,25,31,80.6,12,29,41,17,6,5,10,22,-19
LAL,LAL vs. HOU,01/17/2016,L,240,95,37,82,45.1,6,19,31.6,15,19,78.9,3,33,36,25,8,7,14,16,-17
LAL,LAL @ UTA,01/16/2016,L,240,82,31,90,34.4,9,23,39.1,11,18,61.1,16,28,44,16,4,4,14,14,-27
LAL,LAL @ GSW,01/14/2016,L,240,98,40,90,44.4,4,23,17.4,14,24,58.3,16,31,47,17,13,3,21,19,-18
LAL,LAL vs. NOP,01/12/2016,W,240,95,32,87,36.8,6,29,20.7,25,32,78.1,11,36,47,16,7,4,8,17,4
LAL,LAL vs. UTA,01/10/2016,L,240,74,29,89,32.6,3,21,14.3,13,15,86.7,16,25,41,15,9,4,11,22,-12
LAL,LAL vs. OKC,01/08/2016,L,240,113,40,84,47.6,9,26,34.6,24,25,96,10,24,34,19,9,5,13,22,-4
LAL,LAL @ SAC,01/07/2016,L,240,115,41,76,53.9,8,24,33.3,25,29,86.2,6,27,33,20,10,4,18,26,-3
LAL,LAL vs. GSW,01/05/2016,L,240,88,29,91,31.9,5,21,23.8,25,30,83.3,15,37,52,15,7,4,13,16,-21
LAL,LAL vs. PHX,01/03/2016,W,240,97,38,84,45.2,8,22,36.4,13,17,76.5,9,45,54,26,8,7,16,16,20
LAL,LAL vs. PHI,01/01/2016,W,240,93,33,87,37.9,5,16,31.3,22,29,75.9,13,37,50,17,11,6,12,17,9
LAL,LAL @ BOS,12/30/2015,W,240,112,43,94,45.7,9,19,47.4,17,23,73.9,13,39,52,22,5,2,10,22,8
LAL,LAL @ CHA,12/28/2015,L,240,98,35,85,41.2,9,29,31,19,23,82.6,6,35,41,24,7,4,12,17,-10
LAL,LAL @ MEM,12/27/2015,L,240,96,32,84,38.1,8,29,27.6,24,32,75,18,28,46,16,6,5,15,18,-16
LAL,LAL vs. LAC,12/25/2015,L,240,84,32,77,41.6,7,23,30.4,13,25,52,6,34,40,17,10,2,16,13,-10
LAL,LAL vs. OKC,12/23/2015,L,240,85,32,89,36,7,25,28,14,22,63.6,12,23,35,19,6,5,12,18,-35
LAL,LAL @ DEN,12/22/2015,W,240,111,40,84,47.6,7,26,26.9,24,32,75,11,29,40,17,6,6,11,21,4
LAL,LAL @ OKC,12/19/2015,L,240,78,30,86,34.9,8,28,28.6,10,17,58.8,8,24,32,14,10,2,14,20,-40
LAL,LAL vs. HOU,12/17/2015,L,240,87,36,84,42.9,5,24,20.8,10,18,55.6,13,33,46,22,5,5,14,27,-20
LAL,LAL vs. MIL,12/15/2015,W,240,113,41,89,46.1,10,27,37,21,25,84,18,34,52,26,7,3,14,18,18
LAL,LAL @ HOU,12/12/2015,L,240,97,35,88,39.8,10,32,31.3,17,20,85,11,29,40,21,11,4,20,23,-29
LAL,LAL @ SAS,12/11/2015,L,240,87,36,88,40.9,9,25,36,6,10,60,9,27,36,20,7,5,16,21,-22
LAL,LAL @ MIN,12/09/2015,L,265,122,48,93,51.6,9,23,39.1,17,27,63,9,31,40,19,9,1,9,23,-1
LAL,LAL @ TOR,12/07/2015,L,240,93,34,83,41,7,19,36.8,18,20,90,14,33,47,14,4,4,15,23,-9
LAL,LAL @ DET,12/06/2015,L,240,91,32,80,40,5,18,27.8,22,29,75.9,8,31,39,12,6,4,15,21,-20
LAL,LAL @ ATL,12/04/2015,L,240,87,32,86,37.2,13,27,48.1,10,13,76.9,15,27,42,19,10,7,16,14,-13
LAL,LAL @ WAS,12/02/2015,W,240,108,41,96,42.7,8,25,32,18,20,90,16,29,45,17,18,3,17,22,4
LAL,LAL @ PHI,12/01/2015,L,240,91,33,89,37.1,8,34,23.5,17,24,70.8,12,34,46,15,4,2,12,19,-12
LAL,LAL vs. IND,11/29/2015,L,240,103,38,99,38.4,11,33,33.3,16,22,72.7,15,39,54,17,6,5,12,27,-4
LAL,LAL @ POR,11/28/2015,L,240,96,36,82,43.9,7,23,30.4,17,23,73.9,6,27,33,20,12,2,9,19,-12
LAL,LAL @ GSW,11/24/2015,L,240,77,31,83,37.3,3,21,14.3,12,16,75,8,37,45,16,8,2,15,15,-34
LAL,LAL vs. POR,11/22/2015,L,240,93,32,88,36.4,6,18,33.3,23,27,85.2,15,36,51,17,2,6,11,12,-14
LAL,LAL vs. TOR,11/20/2015,L,240,91,35,77,45.5,8,25,32,13,17,76.5,9,32,41,21,8,4,15,18,-11
LAL,LAL @ PHX,11/16/2015,L,240,101,37,77,48.1,9,20,45,18,20,90,7,30,37,12,5,2,17,23,-19
LAL,LAL vs. DET,11/15/2015,W,240,97,31,75,41.3,6,19,31.6,29,39,74.4,7,39,46,24,5,5,16,19,12
LAL,LAL @ DAL,11/13/2015,L,240,82,29,88,33,9,27,33.3,15,18,83.3,15,42,57,18,10,7,22,27,-8
LAL,LAL @ ORL,11/11/2015,L,240,99,39,79,49.4,7,22,31.8,14,18,77.8,7,36,43,25,5,7,14,11,-2
LAL,LAL @ MIA,11/10/2015,L,240,88,34,77,44.2,11,22,50,9,12,75,5,31,36,21,7,7,18,21,-13
LAL,LAL @ NYK,11/08/2015,L,240,95,36,94,38.3,9,27,33.3,14,23,60.9,12,34,46,19,7,3,10,20,-4
LAL,LAL @ BKN,11/06/2015,W,240,104,33,78,42.3,7,23,30.4,31,40,77.5,5,35,40,14,9,6,16,22,6
LAL,LAL vs. DEN,11/03/2015,L,240,109,36,86,41.9,6,26,23.1,31,38,81.6,11,29,40,18,9,4,11,28,-11
LAL,LAL vs. DAL,11/01/2015,L,240,93,31,85,36.5,10,34,29.4,21,28,75,8,34,42,18,8,9,12,20,-10
LAL,LAL @ SAC,10/30/2015,L,240,114,41,89,46.1,11,34,32.4,21,27,77.8,8,29,37,20,7,9,19,24,-18
LAL,LAL vs. MIN,10/28/2015,L,240,111,35,90,38.9,9,34,26.5,32,35,91.4,12,36,48,18,2,4,14,29,-1
LAL,LAL vs. SAC,04/15/2015,L,240,99,36,94,38.3,7,24,29.2,20,25,80,16,30,46,22,6,8,15,28,-23
LAL,LAL @ SAC,04/13/2015,L,240,92,40,96,41.7,4,15,26.7,8,13,61.5,17,32,49,19,8,3,11,26,-10
LAL,LAL vs. DAL,04/12/2015,L,240,106,34,78,43.6,9,24,37.5,29,36,80.6,6,31,37,20,4,4,15,20,-14
LAL,LAL vs. MIN,04/10/2015,W,240,106,41,83,49.4,9,23,39.1,15,24,62.5,14,32,46,35,6,2,14,22,8
LAL,LAL @ DEN,04/08/2015,L,240,101,36,75,48,5,16,31.3,24,35,68.6,9,30,39,15,7,2,15,20,-18
LAL,LAL @ LAC,04/07/2015,L,240,100,35,84,41.7,9,25,36,21,27,77.8,8,35,43,24,2,1,11,25,-5
LAL,LAL vs. LAC,04/05/2015,L,240,78,29,75,38.7,7,17,41.2,13,22,59.1,14,27,41,17,3,3,19,18,-28
LAL,LAL vs. POR,04/03/2015,L,240,77,31,82,37.8,5,14,35.7,10,17,58.8,6,37,43,13,4,6,13,10,-30
LAL,LAL vs. NOP,04/01/2015,L,240,92,37,83,44.6,5,16,31.3,13,21,61.9,12,23,35,22,4,2,7,17,-21
LAL,LAL @ PHI,03/30/2015,W,265,113,40,82,48.8,10,21,47.6,23,30,76.7,12,33,45,27,7,10,17,26,2
LAL,LAL @ BKN,03/29/2015,L,240,99,42,91,46.2,6,18,33.3,9,11,81.8,9,34,43,25,7,4,11,14,-8
LAL,LAL @ TOR,03/27/2015,L,240,83,29,84,34.5,4,17,23.5,21,29,72.4,16,30,46,14,6,2,13,19,-11
LAL,LAL @ MIN,03/25/2015,W,265,101,39,92,42.4,6,26,23.1,17,18,94.4,14,34,48,21,8,4,16,23,2
LAL,LAL @ OKC,03/24/2015,L,240,117,44,85,51.8,9,19,47.4,20,27,74.1,8,20,28,22,10,7,10,17,-10
LAL,LAL vs. PHI,03/22/2015,W,240,101,39,81,48.1,5,14,35.7,18,22,81.8,13,39,52,21,4,9,14,21,14
